reference,city,latitude,longitude,nearest_destination_id,nearest_destination_name
CA - West Nipissing,West Nipissing,46.36618,-79.94296,51539,Huntsville
CA - West Saint Peters,West Saint Peters,46.42497253418,-62.787872314453,50647,Cape Breton Island
CA - Westerose,Westerose,52.96111,-114.02892,28470,Edmonton
CA - Westlock,Westlock,54.15214,-113.82672,28470,Edmonton
CA - Wetaskiwin,Wetaskiwin,52.962202217355,-113.39030498535143,28470,Edmonton
CA - Weyburn,Weyburn,49.664669333333336,-103.87677333333332,22225,North Dakota
CA - Whistler,Whistler,50.11275586742397,-122.9585050219889,618,Whistler
CA - Whitby,Whitby,43.8715062312012,-78.90342604687501,623,Toronto
CA - Whitchurch-Stouffville,Whitchurch-Stouffville,43.963954925537,-79.274230957031,623,Toronto
CA - White Rock,White Rock,49.0177673914062,-122.792055864746,616,Vancouver
CA - Whitecap,Whitecap,51.8929440839845,-106.70580072937,75,Canada
CA - Whitecourt,Whitecourt,54.14043841687016,-115.697500901285,260,Alberta
CA - Whitehorse,Whitehorse,60.716938445144926,-135.0546972772098,5420,Whitehorse
CA - Williams Lake,Williams Lake,52.1255071802734,-122.11514394629,22562,Kamloops
CA - Windsor,Windsor,42.31131774980739,-83.03744728207245,28773,Windsor
CA - Winkler,Winkler,49.192719,-97.945095,50494,Winnipeg
CA - Winnipeg,Winnipeg,49.88901292516436,-97.16668939117356,50494,Winnipeg
CA - Woodstock,Woodstock,43.79027808360456,-77.82273959559456,28610,Peterborough & the Kawarthas
CA - Woolwich,Woolwich,43.506756,-80.55412,50648,London
CA - YT - Dawson City,Dawson City,64.06063,-139.43376,5419,Yukon
CA - YT - Haines Junction,Haines Junction,60.7553567278632,-137.51711283004002,5420,Whitehorse
CA - YT - Whitehorse,Whitehorse,60.723429305894605,-135.05722789415165,5420,Whitehorse
CA - YT - Whitehorse - Yukon,Whitehorse - Yukon,60.719826,-135.05045,5420,Whitehorse
CA - Yamachiche,Yamachiche,46.264366,-72.87043,625,Montreal
CA - Yarmouth,Yarmouth,43.8436208958006,-66.107593456543,22871,Saint John
CA - Yellowknife,Yellowknife,62.45578900595428,-114.37670979828556,23637,Yellowknife
CA - Yorkton,Yorkton,51.21142,-102.45122,50494,Winnipeg
CD - Kinshasa,Kinshasa,-4.304706327796485,15.307189976000616,34417,Kinshasa
CG - Kinshasa,Kinshasa,-4.2985157966614,15.312124252319,34417,Kinshasa
CH - Aarburg,Aarburg,47.31245,7.912023,5010,Basel
CH - Adliswil,Adliswil,47.326454,8.529474,577,Zurich
CH - Affoltern Am Albis,Affoltern Am Albis,47.27467,8.44424,577,Zurich
CH - Allschwil,Allschwil,47.561946934448,7.554148098587049,5010,Basel
CH - Andermatt,Andermatt,46.64987123333333,8.590157566666667,22430,Central Switzerland
CH - Appenzell,Appenzell,47.331099088135,9.40886681430055,50933,Vaduz
CH - Arosa,Arosa,46.7811416587525,9.678679033142076,24630,Davos
CH - Baar,Baar,47.19521,8.52352,577,Zurich
CH - Bad Ragaz,Bad Ragaz,47.002118575439496,9.500669583129898,1004,Liechtenstein
CH - Basel,Basel,47.55434255943848,7.591651417993028,5010,Basel
CH - Basel Mulhouse,Basel Mulhouse,47.561946868896,7.5541481971741,5010,Basel
CH - Basle,Basle,47.6,7.533333,5010,Basel
CH - Bassersdorf,Bassersdorf,47.42899,8.642196,577,Zurich
CH - Beatenberg,Beatenberg,46.692885,7.7826195,5011,Interlaken
CH - Beckenried,Beckenried,46.97127532959,8.4590997695923,51405,Nidwalden 
CH - Bellinzona,Bellinzona,46.1850940443848,9.01325667554444,26381,Lugano
CH - Belp,Belp,46.88767,7.49891,23275,Bern
CH - Bern,Bern,46.94903407619064,7.436573219188985,23275,Bern
CH - Birsfelden,Birsfelden,47.55453936340351,7.6191200605011,5010,Basel
CH - Bivio,Bivio,46.468796,9.649539,5015,Swiss Alps
CH - Boenigen,Boenigen,46.68854,7.89782,5011,Interlaken
CH - Bonigen,Bonigen,46.6958606,7.913061519999999,5011,Interlaken
CH - Bourg-en-Lavaux,Bourg-en-Lavaux,46.489643096924,6.7424449920654,37221,Vevey
CH - Brienz,Brienz,46.7447455,8.0270255,34153,Grindelwald
CH - Brig,Brig,46.315846266683,7.989547978942866,25956,Lauterbrunnen
CH - Brissago,Brissago,46.123436,8.714121,26381,Lugano
CH - Brugg,Brugg,47.5260973,8.215179,577,Zurich
CH - Brunnen,Brunnen,46.975315,8.670238,51405,Nidwalden 
CH - Bulach,Bulach,47.51215,8.518854,577,Zurich
CH - Bulle,Bulle,46.61896078398563,7.055328683206337,51407,La Gruyere
CH - Buochs,Buochs,46.973396,8.421129,51405,Nidwalden 
